Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Sr. Recruitment Specialist,Full Time,On-site,Alarabia Group,"10th of Ramadan City, Cairo",Posted 6 days ago,22,2 open positions,3 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,"['Commercial', 'Human Resources', 'Hiring', 'Human Resources (HR)', 'Recruitment', 'Selection', 'Sourcing', 'Talent acquisition']"
"Frontend/ Web Developer (Full-Time, Remote)",Full Time,Remote,iBrokerage Ltd.,"Cairo, Egypt",Posted 1 month ago,100,1 open position,4 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,23000 To 26000 EGP Per Month,Creative/Design/Art,"['HTML5', 'Git', 'Design', 'CSS3', 'JavaScript', 'Web Design', 'UX', 'UI', 'React']"
Real Estate Consultant,Full Time,On-site,Remax plaza,"New Cairo, Cairo",Posted 12 days ago,5,10 open positions,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Highest Commission On Market",Sales/Retail,"['Consulting', 'Real Estate', 'Sales', 'Communication skills', 'Sales Target', 'sales skills', 'Negotiation']"
Human Resource Recruiter,Full Time,On-site,El Forsan,"10th of Ramadan City, Cairo",Posted 6 days ago,12,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Female,Human Resources,"['Administration', 'Applicant Tracking Systems', 'business', 'Business Administration', 'Communication', 'Human Resources', 'Human Resources (HR)', 'Microsoft Office', 'Personnel', 'Recruitment']"
Motion Graphic Designer,Full Time,On-site,ALQURASHI,"Maadi, Cairo",Posted 2 months ago,64,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,16000 To 18000 EGP Per Month,Creative/Design/Art,"['Graphic Design', 'After Effects', 'Animation', 'Adobe illustrator', 'Adobe Photoshop', '3D', 'Adobe After Effects', 'Design', 'Editing', 'graphics', 'Video Editing']"
Stylist,Full Time,On-site,Carina Wear,"Cairo, Egypt",Posted 13 days ago,31,1 open position,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['Fashion', 'fashion styling', 'Styling', 'stylist', 'media']"
Accountant Internship,Internship,Hybrid,Invia Cap,"Sheikh Zayed, Giza",Posted 2 months ago,223,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,Paid,Accounting/Finance,"['accountant', 'Accounting', 'Internship']"
SAP Team Leader,Full Time,On-site,Elmarakby Steel,"6th of October, Giza",Posted 1 month ago,31,1 open position,6 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['Project Management', 'Information Technology (IT)', 'SAP FICO', 'SAP']"
Production Pharmacist,Full Time,On-site,AUG Pharma,"6th of October, Giza",Posted 2 months ago,118,3 open positions,1 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Manufacturing/Production,"['Pharmaceutical', 'Pharmacy', 'Production']"
ERP Product Owner,Full Time,Hybrid,Finiex Soft,"Fleming, Alexandria",Posted 1 month ago,53,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Product Owner', 'Software Development', 'Information Technology (IT)', 'Computer Science', 'Product']"
Branch Manager at Sehha Pharmacy,Full Time,On-site,Al Ahly Medical Company,"Giza, Giza",Posted 13 days ago,37,1 open position,3 To 7 Years,Manager,Bachelor'S Degree,Confidential,Operations/Management,"['Pharmacy', 'Pharmaceutical', 'hospitals', 'jobs', 'vacancies', 'inpatient', 'Outpatient Department', 'pharmacist', 'Medical', 'healthcare', 'Branch Management', 'Management', 'Operations', 'Branch', 'Sales', 'sales skills']"
Sales Engineer,Full Time,On-site,I.D.M Technologies,"Alexandria, Egypt",Posted 2 months ago,28,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['Engineering', 'Sales Target', 'sales skills', 'Sales', 'Electrical Engineering', 'Mechanical Engineering', 'Electrical', 'Target', 'Mechanical']"
Node JS Developer,Full Time,On-site,Rehabitaire,"Maadi, Cairo",Posted 4 days ago,91,2 open positions,More Than 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['Node.js', 'Software', 'Js', 'JavaScript', 'Information Technology (IT)', 'Git', 'SQL', 'Software Development', 'AWS', 'Computer Science', 'Problem Solving']"
Oracle Developer forms,Full Time,On-site,Ultimate Solutions Egypt,"Sheikh Zayed, Giza",Posted 2 months ago,49,5 open positions,2 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Allowance Social And Medical Insurance Food Allowance",IT/Software Development,"['Communication skills', 'Computer Science', 'Database', 'Information Technology (IT)', 'Oracle', 'PL/SQL', 'Oracle Database', 'Software Development', '6i', '12C', 'Software', 'Development', 'SQL', 'PL', '11g', 'application', 'Management']"
B 2 B Sales Manager HORECA,Full Time,On-site,,"Cairo, Egypt",Posted 2 months ago,94,1 open position,5 To 20 Years,Manager,Bachelor'S Degree,Confidential,Business Development,"['Business Development', 'Channel Management', 'Sales', 'Food & Beverage', 'HoReCa Sales', 'HORECA', 'sales skills']"
Telesales (Fluent English - USA Shift),Full Time,On-site,3D Diagnostix,"Maadi, Cairo",Posted 1 month ago,25,6 open positions,0 To 5 Years,Entry Level (Junior Level / Fresh Grad),High School (Or Equivalent),"14000 To 14000 EGP Per Month, Net Salary: 14000 LE + (Monthly Commission In US Dollars - Social Insurance - Medical Insurance - Transportation)",Business Development,"['Sales', 'Sales Skills', 'Sales Target', 'Outbound', 'Telesales', 'Customer Service', 'Call Center', 'Customer Support', 'Telemarketing', 'Cold Calling', 'Up Selling', 'English', 'Telecom', 'Sales Field', 'Sales Plan', 'Sales Planning', 'Sales Plans', 'Telecommunication', 'Outbound Calls', 'Inbound Calls', '', '', '', '', '']"
FP&A Lead,Full Time,On-site,Egypt Foods,"Sheikh Zayed, Giza",Posted 26 days ago,81,2 open positions,8 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['Financial Analysis', 'Budget Control', 'Forecasting', 'Accounting', 'Computer Engineering', 'CFA', 'CPA', 'Finance']"
Social Media Specialist,Full Time,On-site,Misr University for Science and Technology,"6th of October, Giza",Posted 26 days ago,93,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Marketing/PR/Advertising,"['digital media', 'Editing', 'E-Marketing', 'Online Marketing', 'Social Media', 'media']"
Search Engine Optimization Specialist,Full Time,On-site,Extend for IT solutions,"Maadi, Cairo",Posted 19 days ago,16,2 open positions,2 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Marketing/PR/Advertising,"['SEO', 'Google Analytics', 'HTML', 'CSS', 'JavaScript', 'Marketing', 'Search Engine Optimization', 'Google search console']"
J17103 - Secondary HS DP Environmental Systems & Societies and MYP Science Teacher - Qatar - August 2025,Full Time,educator,Edvectus,"Doha, Qatar",Posted 2 days ago,Be the First to Apply,,Not Specified,Not Specified,Not Specified,Confidential,Administration,"['educator', 'teachingpackage', 'competencies', 'teaching', 'educators']"
Sales Specialist,Full Time,On-site,AlGammal Contracting,"Katameya, Cairo",Posted 23 days ago,Be the First to Apply,,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,111111 To 111111 EGP Per Month,Sales/Retail,"['Sales', 'sales skills', 'Sales Specialist', 'Sales Target']"
Senior Accountant,Full Time,On-site,Fast Access,"Riyadh, Saudi Arabia",Posted 2 months ago,373,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,3500 To 5000 SAR Per Month,Accounting/Finance,"['Accounting', 'Accounting Software', 'Financial Analysis', 'Financial Management', 'Finance', 'Reporting', 'ERP']"
Training Center Manager,Full Time,On-site,SAFESCIENCE,"Maadi, Cairo",Posted 8 days ago,16,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Marketing/PR/Advertising,"['Business Administration', 'Technical Training', 'training center management']"
