Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country
General Accountant,Full Time,on-site,LA VISTA Developments,"Cairo, Egypt",27,263,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial', 'finance', 'financial accountant', 'accountant', 'financial accounting', 'financial analysis']",both,901,7,10,Cairo, Egypt
General Accountant,Full Time,on-site,ONA Electric industries,"10th of Ramadan City, Cairo",2,33,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'sap']",both,901,3,10,10th of Ramadan City, Cairo
General Accountant,Full Time,on-site,Not Specified,"6th of October, Giza",28,51,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['general accountant', 'accountant', 'accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'gaap', 'general ledger', 'ms', 'software']",both,901,1,2,6th of October, Giza
General Accountant,Full Time,on-site,Not Specified,"New Cairo, Cairo",28,113,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,10000 To 12000 EGP Per Month,Accounting/Finance,"['general accountant', 'accountant', 'accounting', 'finance']",both,901,2,4,New Cairo, Cairo
General Accountant,Full Time,on-site,Orouba Misr,"Smouha, Alexandria",10,148,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting software', 'financial analysis', 'general ledger']",both,901,3,4,Smouha, Alexandria
General Accountant,Full Time,on-site,Not Specified,"New Cairo, Cairo",28,108,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'general ledger', 'ms']",both,901,2,3,New Cairo, Cairo
General Accountant,Full Time,on-site,AlShrouk Paper,"Sheikh Zayed, Giza",56,202,5,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'general accountant', 'accounting', 'finance']",both,901,1,2,Sheikh Zayed, Giza
General Accountant,Full Time,on-site,Premier Services and Recruitment Overseas,"Maadi, Cairo",10,133,1,Experienced (Non-Manager),Not Specified,"Confidential, Bonus Schema",Accounting/Finance,"['accounting', 'certified accountant', 'excel', 'certified public accountant', 'finance', 'financial', 'financial analysis', 'general ledger', 'ms', 'accounting software', 'accountant']",both,901,2,3,Maadi, Cairo
General Accountant,Full Time,on-site,ISTQSERVERS,"Maadi, Cairo",26,170,1,Experienced (Non-Manager),Not Specified,12000 To 18000 EGP Per Month,Accounting/Finance,"['accounting', 'accounts payable', 'accounts receivable', 'finance', 'financial', 'financial analysis']",both,901,4,6,Maadi, Cairo
General Accountant,Full Time,on-site,Wonder Travel,"Cairo, Egypt",19,194,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting principles', 'accounting software', 'english', 'excel', 'finance', 'financial', 'financial', 'microsoft']",Male,901,0,1,Cairo, Egypt
General Accountant,Full Time,on-site,Extend for IT solutions,"Maadi, Cairo",25,163,1,Experienced (Non-Manager),High School (Or Equivalent),"Confidential, 0",Accounting/Finance,"['accounting', 'accountant', 'finance', 'zoho', 'financial analysis', 'financial']",both,901,5,10,Maadi, Cairo
General Accountant (Treasury Department),Full Time,on-site,MCV,"Obour City, Cairo",28,350,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'business administration', 'financial', 'accountant', 'computer', 'treasury', 'treasury accountant', 'microsoft', 'microsoft excel', 'sap']",both,901,1,3,Obour City, Cairo
General Accountant - Alexandria,Full Time,on-site,Not Specified,"Alexandria, Egypt",28,207,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'financial analysis', 'accounting software', 'microsoft', 'english']",both,901,3,5,Alexandria, Egypt
General Accountant - Kafr Alsheikh,Full Time,on-site,Not Specified,"Kafr Alsheikh, Egypt",56,26,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'microsoft excel', 'financial']",both,901,7,10,Kafr Alsheikh, Egypt
General Accountant - Odoo user,Full Time,on-site,Osolutions,"Nasr City, Cairo",28,99,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['financial', 'accounting', 'finance']",both,901,3,7,Nasr City, Cairo
