Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country,Applicant_per_position
Game Developer,Full Time,on-site,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo",24,10,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['html5', 'json', 'oop', 'javascript', 'software']",both,374,2,5,Obour City, Cairo,10
Graphic Desginer& Content Creator,Full Time,on-site,Deutschland Technology Limited,"Obour City, Cairo",18,23,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Creative/Design/Art,"['content creation', 'content creator', 'design', 'graphic', 'graphic design', 'marketing', 'social media', 'media', 'editing', 'creative', 'content']",both,374,1,3,Obour City, Cairo,23
Graphic Design Team Lead,Full Time,on-site,Social Peak,"Maadi, Cairo",20,34,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['3d', 'arts', 'creative', 'design', 'graphic', 'graphic design', 'photoshop', 'visual design', 'digital marketing', 'marketing', 'facebook marketing', 'digital advertising']",both,374,5,7,Maadi, Cairo,34
Graphic Designer,Full Time,on-site,ALQURASHI,"Maadi, Cairo",56,94,1,Experienced (Non-Manager),Bachelor'S Degree,9000 To 12000 EGP Per Month,Creative/Design/Art,"['motion graphics', 'graphic design', 'graphics', 'adobe illustrator', 'adobe photoshop', 'illustrator', 'photoshop', 'video editing', 'indesign']",both,374,2,3,Maadi, Cairo,94
Graphic Designer,Full Time,on-site,Air Arabia,"Mohandessin, Giza",28,62,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe photoshop', 'creative', 'design', 'graphic', 'graphic design', 'indesign', 'marketing', 'photoshop', 'media', 'social media']",both,374,2,3,Mohandessin, Giza,62
Graphic Designer,Full Time,on-site,TTC Technologies,"Heliopolis, Cairo",28,56,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'adobe premiere', 'design', 'graphic', 'creative', 'graphic design', 'illustrator', 'marketing', 'photoshop', 'art', 'indesign']",both,374,3,5,Heliopolis, Cairo,56
Graphic Designer,Full Time,on-site,International Coffee Industries (Café Najjar Egypt),"Hawamdeyya, Giza",16,34,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['design', 'graphic design', 'illustrator', 'photoshop', 'adobe photoshop', 'applied arts', 'arts', 'communication', 'graphics', 'indesign', 'graphic', 'adobe illustrator']",both,374,1,3,Hawamdeyya, Giza,34
Graphic Designer,Full Time,on-site,Zeta Pharma,"Nasr City, Cairo",28,42,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'indesign', 'arts', 'graphic', 'fine arts']",both,374,3,5,Nasr City, Cairo,42
Graphic Designer,Full Time,on-site,aventa laboratory,"Maadi, Cairo",27,62,1,Experienced (Non-Manager),Bachelor'S Degree,18000 To 22000 EGP Per Month,Creative/Design/Art,"['adobe illustrator', 'illustrator', 'adobe photoshop', 'communication', 'communication', 'design', 'creative', 'graphic', 'graphic design', 'media', 'photoshop', 'social media']",both,374,2,3,Maadi, Cairo,62
Graphic Designer,Full Time,on-site,RUSHBRUSH INC,"Alexandria, Egypt",28,38,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe', 'adobe illustrator', 'adobe photoshop', 'communication', 'design', 'graphic', 'graphic design', 'photoshop', 'illustrator']",both,374,2,4,Alexandria, Egypt,38
Graphic Designer,Full Time,on-site,Winning for trade and commercial agencies,"Dokki, Giza",27,52,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['arts', 'adobe photoshop', 'adobe illustrator', 'design', 'fine arts', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'social media', 'printing']",both,374,1,3,Dokki, Giza,52
Graphic Designer,Full Time,on-site,Egypt University of Informatics (EUI),"New Capital, Cairo",56,52,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['design', 'creative', 'graphic design', 'indesign', 'photoshop', 'english', 'graphic']",both,374,2,3,New Capital, Cairo,52
Graphic Designer,Full Time,on-site,Happy Vision,"Mohandessin, Giza",25,100,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic', 'design', 'graphic design', 'creative', 'motion graphics', 'applied arts', 'adobe photoshop', 'adobe illustrator', 'graphics', 'indesign', 'photoshop', 'illustrator']",both,374,2,4,Mohandessin, Giza,100
Graphic Designer,Full Time,on-site,Leader cosmetics,"Badr City, Cairo",28,10,1,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'dreamweaver', 'graphic', 'graphic design', 'photoshop']",both,374,2,2,Badr City, Cairo,10
Graphic Designer,Full Time,on-site,Efdal,"Dammam, Saudi Arabia",56,448,1,Experienced (Non-Manager),Bachelor'S Degree,,Creative/Design/Art,"['graphic design', 'graphic designer', 'graphic', 'designer', 'design', 'adobe photoshop', 'adobe illustrator', 'illustrator', 'media', 'photoshop', 'social media', 'ui', 'ux', 'video editing']",Males Preferred,374,3,10,Dammam, Saudi Arabia,448
Graphic Designer,Full Time,on-site,Held investment,"Cairo, Egypt",11,24,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['design', 'dreamweaver', 'graphic', 'graphic design', 'photoshop', 'software', 'arts']",both,374,1,1,Cairo, Egypt,24
Graphic Designer,Full Time,on-site,COSMIC advertising solutions,"New Cairo, Cairo",12,75,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['arts', 'graphic design', 'adobe illustrator', 'adobe photoshop', 'design', 'fine arts', 'illustrator', 'photoshop', 'software', 'graphic', 'dreamweaver', 'indesign']",both,374,3,6,New Cairo, Cairo,37
Graphic Designer,Full Time,on-site,Helal Group,"New Cairo, Cairo",12,52,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'creative', 'graphic', 'graphics', 'motion graphics', 'video editing']",both,374,2,5,New Cairo, Cairo,52
Graphic Designer,Full Time,on-site,Professional Service - Proserv,"Cairo, Egypt",56,52,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe', 'adobe illustrator', 'adobe photoshop', 'arts', 'creative', 'design', 'english', 'graphic', 'graphic design', 'illustrator', 'indesign', 'photoshop']",both,374,2,4,Cairo, Egypt,52
Graphic Designer,Full Time,on-site,FIndo Realestate,"Smouha, Alexandria",28,48,1,Experienced (Non-Manager),Bachelor'S Degree,5000 To 6000 EGP Per Month,Creative/Design/Art,"['adobe photoshop', 'graphic', 'graphic design', 'adobe illustrator', 'graphic designer', 'designer', 'design', 'fine arts', 'illustrator', 'dreamweaver', 'photoshop']",both,374,2,6,Smouha, Alexandria,48
Graphic Designer,Full Time,on-site,Naturub Accessories Egypt Pvt Ltd,"Ismailia, Ismailia",19,7,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'graphic', 'graphic design', 'photoshop', 'arts', 'design']",both,374,2,3,Ismailia, Ismailia,7
Graphic Designer,Full Time,on-site,Mix Media services,"Dokki, Giza",56,107,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'communication', 'design', 'graphic', 'graphic design', 'graphic designing', 'portfolio', 'designing', 'illustrations', 'design software', 'software']",both,374,1,,Dokki, Giza,107
Graphic Designer,Full Time,on-site,Media Gate,"Cairo, Egypt",28,43,1,Experienced (Non-Manager),Bachelor'S Degree,15000 To 20000 EGP Per Month,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'design', 'designer', 'graphic design', 'graphic designer', 'graphic', 'arts', 'dreamweaver', 'fine arts', 'illustrator', 'indesign', 'photoshop', 'software']",both,374,5,7,Cairo, Egypt,43
Graphic Designer,Full Time,on-site,Not Specified,"Mohandessin, Giza",2,15,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'adobe indesign', 'graphic design', 'advertising']",both,374,1,5,Mohandessin, Giza,15
Graphic Designer,Full Time,on-site,Mezyan Development,"New Cairo, Cairo",56,64,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'illustrator', 'design', 'adobe photoshop', 'adobe illustrator', 'photoshop', 'graphic', 'animation', 'adobe', 'video editing', 'english', 'video']",both,374,3,5,New Cairo, Cairo,64
Graphic Designer,Full Time,on-site,proleaders,"Giza, Egypt",56,24,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'graphic design', 'adobe illustrator', 'graphic', 'indesign', 'photoshop', 'illustrator', 'design', 'arts']",both,374,2,5,Giza, Egypt,24
Graphic Designer,Full Time,on-site,sunlube lubricants industry,"Alsadat City, Monufya",56,7,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'design', 'graphic', 'graphic design', 'illustrator', 'arts', 'creative', 'fine arts', 'indesign', 'photoshop', 'software']",both,374,2,,Alsadat City, Monufya,7
Graphic Designer,Full Time,on-site,Gomla Market,"Ameria, Alexandria",56,37,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'digital', 'graphic design', 'digital marketing', 'digital marketing', 'marketing']",both,374,2,6,Ameria, Alexandria,37
Graphic Designer,Full Time,on-site,Veexia,"Heliopolis, Cairo",28,52,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe premiere', 'after effects', 'adobe photoshop', 'graphic design', 'illustrator', 'design', 'graphic']",both,374,3,5,Heliopolis, Cairo,52
Graphic Designer,Full Time,on-site,SAS -Partners-amca,"Zamalek, Cairo",2,37,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['graphic design', 'social media advertising', 'adobe photoshop', 'illustrator', 'adobe illustrator cc']",both,374,2,3,Zamalek, Cairo,37
Graphic Designer,Full Time,on-site,Frame Advertising,"Dokki, Giza",9,41,2,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['graphic designer', 'graphic design', 'adobe photoshop', 'adobe illustrator']",both,374,2,3,Dokki, Giza,20
Graphic Designer,Full Time,on-site,Nozha Group,"Heliopolis, Cairo",25,29,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['3d', 'design', 'graphic design', 'marketing campaigns', 'media', 'social']",both,374,4,6,Heliopolis, Cairo,29
Graphic Designer,Full Time,on-site,Frame Advertising,"Dokki, Giza",9,42,2,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['graphic designer', 'graphic design', 'adobe photoshop', 'adobe illustrator']",both,374,2,3,Dokki, Giza,21
Graphic Designer,Full Time,on-site,Amer printing,"New Nozha, Cairo",28,30,3,Experienced (Non-Manager),Not Specified,"Confidential, Non",Creative/Design/Art,"['adobe illustrator', 'indesign', 'adobe photoshop']",both,374,5,10,New Nozha, Cairo,10
Graphic Designer,Full Time,on-site,Dash Code,"Cairo, Egypt",25,158,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'creative', 'design', 'graphic', 'graphic design', 'photoshop']",both,374,3,,Cairo, Egypt,158
Graphic Designer,Full Time,on-site,El Mansour Development,"Mokattam, Cairo",28,55,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'graphic designer', 'graphic', 'photoshop', 'design', 'adobe illustrator', 'adobe', 'adobe photoshop', 'software', 'image editing', 'real estate']",both,374,3,5,Mokattam, Cairo,55
Graphic Designer,Full Time,on-site,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo",56,77,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'graphic design']",both,374,3,5,Obour City, Cairo,77
Graphic Designer,Full Time,on-site,sectorid,"Nasr City, Cairo",21,36,2,Experienced (Non-Manager),Not Specified,8000 To 16000 EGP Per Month,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'graphic', 'video editing', 'illustrator', 'media', 'photoshop', 'social media']",both,374,1,3,Nasr City, Cairo,18
Graphic Designer,Full Time,on-site,Not Specified,"New Cairo, Cairo",14,37,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'arts', 'dreamweaver', 'fine arts', 'graphic', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'software']",both,374,1,3,New Cairo, Cairo,37
Graphic Designer,Full Time,on-site,Edutech Labs Fze,"Cairo, Egypt",28,157,1,Experienced (Non-Manager),Bachelor'S Degree,10000 To 12000 EGP Per Month,Creative/Design/Art,"['adobe illustrator', 'illustrator', 'adobe photoshop', 'graphic', 'indesign', 'graphic design', 'premiere', 'aftereffect']",both,374,3,5,Cairo, Egypt,157
Graphic Designer,Full Time,on-site,EZeats,"Heliopolis, Cairo",24,39,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe creative suite', 'adobe illustrator', 'adobe photoshop', 'creative', 'design', 'graphic', 'graphic design', 'illustrator', 'marketing', 'photoshop', 'ai', 'midjourney']",both,374,2,5,Heliopolis, Cairo,39
Graphic Designer,Full Time,on-site,Not Specified,"Katameya, Cairo",56,44,3,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe after effects', 'after effects', 'editing', 'final cut', 'graphics', 'motion graphics', 'premiere', 'video', 'video editing', 'media', 'adobe premiere']",both,374,3,6,Katameya, Cairo,14
Graphic Designer,Full Time,on-site,Multi M Group,"Heliopolis, Cairo",28,57,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'design', 'creative', 'photoshop']",both,374,2,4,Heliopolis, Cairo,57
Graphic Designer,Full Time,on-site,Horizon Chemical for Special Chemicals,"Alexandria, Egypt",28,20,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'motion graphics', 'photoshop', 'video editing', 'graphic design', 'graphic', 'digital design', 'adobe creative suite', 'illustrator', 'adobe indesign', 'typography', 'layout', 'color theory', 'ai', 'motion graphic design', 'adobe premiere pro']",both,374,3,5,Alexandria, Egypt,20
Graphic Designer,Full Time,on-site,Outsourcing Skill,"Maadi, Cairo",56,188,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'arts', 'design', 'fine arts', 'graphic', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'software']",both,374,1,2,Maadi, Cairo,188
Graphic Designer,Full Time,on-site,VIVASTORE,"Doha, Qatar",27,215,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'graphic design', 'graphic designer', 'design', 'graphic', 'illustrator', 'marketing', 'photoshop', 'video editing', 'web design', 'creative', 'advertising']",both,374,1,2,Doha, Qatar,215
Graphic Designer,Full Time,on-site,Social Peak,"Maadi, Cairo",28,46,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'arts', 'design', 'fine arts', 'graphic', 'graphic design', 'indesign', 'photoshop', 'graphic designing']",both,374,3,5,Maadi, Cairo,46
Graphic Designer,Full Time,on-site,Smart Stand,"Cairo, Egypt",4,42,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['2d', 'adobe illustrator', 'adobe photoshop', 'autocad', 'creative', 'design', 'illustrator', 'graphic design', 'photoshop']",both,374,1,3,Cairo, Egypt,42
Graphic Designer,Full Time,on-site,El Forsan,"Cairo, Egypt",7,18,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'arts', 'dreamweaver', 'fine arts', 'graphic', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'software']",both,374,3,5,Cairo, Egypt,18
Graphic Designer,Full Time,on-site,Dora Management Solutions,"Sheraton, Cairo",14,73,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'adobe lightroom', 'ai graphic tools', 'photo editing', 'product photography', 'media', 'graphic design']",both,374,3,6,Sheraton, Cairo,36
Graphic Designer,Full Time,on-site,E.S for Food and Drinks,"Cairo, Egypt",56,164,1,Student (Undergrad / Postgrad),Bachelor'S Degree,8000 To 12000 EGP Per Month,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'graphic design', 'graphic designer', 'graphic', 'designer', 'design']",both,374,2,10,Cairo, Egypt,164
Graphic Designer,Full Time,on-site,Planet for Digital Solutions,"New Cairo, Cairo",21,47,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'design', 'graphic', 'graphic design', 'illustrator', 'photoshop', 'indesign', 'arts']",both,374,2,4,New Cairo, Cairo,47
Graphic Designer,Full Time,on-site,GROOVY Medical Spa,"Heliopolis, Cairo",28,71,3,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'designer', 'graphic', 'graphic design', 'graphic designer', 'design']",both,374,1,3,Heliopolis, Cairo,23
Graphic Designer,Full Time,on-site,Smart Stand,"Cairo, Egypt",3,42,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['2d', 'adobe illustrator', 'adobe photoshop', 'autocad', 'creative', 'design', 'illustrator', 'graphic design', 'photoshop']",both,374,1,3,Cairo, Egypt,42
Graphic Designer,Full Time,on-site,El Forsan,"Cairo, Egypt",6,18,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'arts', 'dreamweaver', 'fine arts', 'graphic', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'software']",both,374,3,5,Cairo, Egypt,18
Graphic Designer,Full Time,on-site,Dora Management Solutions,"Sheraton, Cairo",13,73,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'adobe lightroom', 'ai graphic tools', 'photo editing', 'product photography', 'media', 'graphic design']",both,374,3,6,Sheraton, Cairo,36
Graphic Designer,Full Time,on-site,Egyptian Company for Cosmetics,"Nasr City, Cairo",28,60,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'branding', 'design', 'product branding', 'photoshop', 'illustrator', 'graphic designing', 'graphic design', 'graphic', 'cosmetics']",both,374,2,5,Nasr City, Cairo,60
Graphic Designer,Full Time,on-site,Pyramids Pharmacy,"6th of October, Giza",28,49,1,Experienced (Non-Manager),Not Specified,"Confidential, Monthly Bonus Annual Bonus Monthly Staff Lunch/ Outing",Creative/Design/Art,"['adobe photoshop', 'arts', 'design', 'graphic', 'graphic design', 'photoshop', 'adobe illustrator', 'fine arts']",both,374,2,10,6th of October, Giza,49
Graphic Designer,Full Time,on-site,Rehabitaire,"Maadi, Cairo",3,29,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'dreamweaver', 'arts', 'fine arts', 'graphic', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'software']",both,374,3,,Maadi, Cairo,29
Graphic Designer,Full Time,on-site,Fate,"Dubai, United Arab Emirates",56,474,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'design', 'graphic', 'graphic design', 'creative', 'graphics', 'illustrator', 'indesign', 'motion graphics', 'photoshop', 'video editing']",both,374,2,,Dubai, United Arab Emirates,474
Graphic Designer,Full Time,on-site,Al Farouk For Educational Service,"Nasr City, Cairo",22,44,2,Experienced (Non-Manager),Not Specified,10000 To 12000 EGP Per Month,Creative/Design/Art,"['adobe photoshop', 'graphic design', 'illustrator', 'motion graphics', 'after effects', 'branding', 'graphic', 'photoshop', 'graphics', 'design', 'adobe illustrator', 'adobe', 'image manipulation']",both,374,3,,Nasr City, Cairo,22
Graphic Designer,Full Time,on-site,BTC-Egypt Gold,"Heliopolis, Cairo",28,51,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['visual design', 'marketing', '3d max', '3d', 'adobe photoshop', 'communication', 'creativity', 'graphic design', 'design', 'adobe illustrator']",both,374,3,6,Heliopolis, Cairo,51
Graphic Designer,Full Time,on-site,ElNassera Group,"Obour City, Cairo",7,29,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe photoshop', 'graphic design', 'illustrator', 'arts', 'fine arts', 'adobe illustrator']",both,374,2,4,Obour City, Cairo,29
Graphic Designer,Full Time,on-site,Cow Gifts,"New Cairo, Cairo",26,54,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'design', 'adobe photoshop', 'adobe illustrator', 'editing', 'creativity', 'adobe indesign', 'photo editing', 'creative', 'information technology', 'photo-editing']",both,374,2,5,New Cairo, Cairo,54
Graphic Designer,Full Time,on-site,Rockal,"Nasr City, Cairo",11,63,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['design', 'creative', 'graphic design', 'adobe photoshop', 'adobe illustrator']",both,374,1,1,Nasr City, Cairo,63
Graphic Designer,Full Time,on-site,Marketopia,"New Cairo, Cairo",25,74,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe photoshop', 'adobe illustrator', 'adobe indesign', 'adobe premiere pro', 'adobe creative suite', 'creative', 'css', 'graphic', 'graphic design', 'html']",both,374,2,3,New Cairo, Cairo,37
Graphic Designer,Freelance / Project,on-site,Ogazzaz,"Heliopolis, Cairo",26,29,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['design', 'adobe illustrator', 'adobe photoshop', 'graphic design', 'photoshop', 'fine arts', 'arts', 'dreamweaver', 'graphic', 'illustrator', 'indesign', 'software']",both,374,2,,Heliopolis, Cairo,14
Graphic Designer,Full Time,on-site,Babeleye,"Maadi, Cairo",16,104,1,Experienced (Non-Manager),Bachelor'S Degree,8000 To 10000 EGP Per Month,Creative/Design/Art,"['adobe illustrator', 'adobe indesign', 'adobe photoshop', 'applied arts', 'design', 'fine arts', 'graphic design', 'photoshop', 'illustrator']",both,374,1,2,Maadi, Cairo,104
Graphic Designer,Internship,on-site,Technooyster (HMA),"Pune, India",28,114,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Paid,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'canva', 'adobe premiere pro', 'aftereffect', 'graphic design', 'video editing', 'social media post creation', 'css', 'graphic', 'design', 'html', 'javascript', 'creative']",both,374,,,Pune, India,114
Graphic Designer,Full Time,on-site,ASATEER FOR ENTERTAINMENT AND TOURISM,"Sheikh Zayed, Giza",28,76,4,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'designer', 'adobe illustrator', 'adobe photoshop', 'fine arts', 'illustrator', 'media', 'photoshop', 'social media', 'video editing', 'marketing', 'creative']",both,374,1,2,Sheikh Zayed, Giza,19
Graphic Designer,Full Time,on-site,PICO,"Zamalek, Cairo",56,90,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['design', 'graphic design', 'marketing']",both,374,3,4,Zamalek, Cairo,90
Graphic Designer,Full Time,on-site,Green Liner,"10th of Ramadan City, Sharqia",56,29,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'arts', 'design', 'dreamweaver', 'fine arts', 'graphic design', 'illustrator', 'indesign', 'photoshop', 'graphic']",both,374,2,4,10th of Ramadan City, Sharqia,29
Graphic Designer,Full Time,on-site,Carina Wear,"Cairo, Egypt",13,91,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'graphic design', 'graphic designer', 'designer', 'adobe creative suite', 'graphic', 'design', 'creative', 'illustrator', 'adobe', 'photoshop', 'arts']",both,374,2,3,Cairo, Egypt,91
Graphic Designer,Full Time,on-site,Platinum Services Oxford,"Heliopolis, Cairo",56,33,1,Experienced (Non-Manager),Bachelor'S Degree,200 To 350 GBP Per Month,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'creative', 'graphic design', 'graphic', 'adobe after effects', 'photoshop', 'indesign', 'illustrator', 'motion graphics', 'graphics', 'design']",both,374,2,4,Heliopolis, Cairo,33
Graphic Designer,Full Time,on-site,Scib Paints,"6th of October, Giza",56,96,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['graphic design', 'adobe creative suite', 'adobe photoshop', 'adobe illustrator', 'indesign', 'photoshop', 'illustrator', 'graphic']",both,374,2,5,6th of October, Giza,96
Graphic Designer,Part Time,on-site,Diversey Egypt,"Sheraton, Cairo",4,174,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'adobe photoshop', 'adobe illustrator', 'graphic', 'designer', 'design', 'arts', 'dreamweaver', 'fine arts', 'illustrator', 'indesign', 'photoshop', 'software']",both,374,2,5,Sheraton, Cairo,87
Graphic Designer,Full Time,on-site,Bakier,"Maadi, Cairo",56,30,1,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['illustrator', 'adobe photoshop']",both,374,3,5,Maadi, Cairo,30
Graphic Designer,Full Time,on-site,Nature's Rule Egypt LLC,"New Cairo, Cairo",28,104,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'design', 'adobe illustrator', 'adobe photoshop', 'adobe', 'illustrator', 'photoshop', 'marketing', 'packaging', 'typography', 'communication', 'layout', 'production']",both,374,3,5,New Cairo, Cairo,104
Graphic Designer,Full Time,on-site,Not Specified,"Smouha, Alexandria",56,53,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Medical Insurance, Social Insurance, Bonus",Creative/Design/Art,"['adobe creative suite', 'adobe photoshop', 'adobe illustrator', 'graphic design', 'graphic', 'graphics', 'motion graphics', 'video editing', 'photoshop', 'illustrator', 'design', 'creative']",both,374,3,5,Smouha, Alexandria,53
Graphic Designer,Full Time,on-site,Runsoft,"Badr City, Cairo",28,34,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['graphic design', 'ui', 'adobe illustrator', 'adobe photoshop', 'creative', 'design', 'graphic', 'illustrator', 'media', 'photoshop', 'web design', 'ux']",both,374,1,3,Badr City, Cairo,34
Graphic Designer,Full Time,on-site,Mersal,"Maadi, Cairo",28,85,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['adobe illustrator', 'adobe photoshop', 'communication', 'creative', 'design', 'design software', 'designer', 'graphic', 'graphic design', 'graphic designer', 'software']",both,374,3,5,Maadi, Cairo,42
