Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country,Applicant_per_position
Account Manager,Full Time,on-site,Masry for Engineering & trading,"Nasr City, Cairo",56,218,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'team']",both,901,5,7,Nasr City, Cairo,218
Account Officer,Full Time,on-site,SHRIEF STEEL,"Smouha, Alexandria",56,137,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['account officer', 'accounting', 'microsoft', 'accounts payable', 'finance']",both,901,3,10,Smouha, Alexandria,137
Account Officer,Full Time,on-site,Massoud Steel,"Obour City, Cairo",28,35,1,Experienced (Non-Manager),Not Specified,8000 To 12000 EGP Per Month,Accounting/Finance,"['account officer', 'accounting', 'accounts payable', 'finance', 'microsoft']",both,901,4,8,Obour City, Cairo,35
Account Payable Accountant,Full Time,on-site,Elkenany Group,"Giza, Egypt",28,69,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'accounts payable', 'ap accountant', 'commerce', 'english', 'enterprise resource planning', 'erp system', 'finance', 'financial analysis', 'ap']",both,901,2,3,Giza, Egypt,69
Account Receivable,Full Time,on-site,Fine Hygienic Holding,"6th of October, Giza",23,106,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounts receivable', 'computer', 'finance', 'english', 'financial analysis']",both,901,1,3,6th of October, Giza,106
Account Receivable Accountant,Full Time,on-site,Elkenany Group,"Giza, Egypt",28,86,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'ar accountant', 'ar', 'english', 'erp system', 'enterprise resource planning', 'finance', 'financial analysis', 'financial']",both,901,2,3,Giza, Egypt,86
Accountant,Full Time,on-site,Creative Motion,"Maadi, Cairo",56,104,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'excel', 'finance', 'financial analysis', 'financial', 'microsoft excel', 'general ledger', 'gaap', 'financial']",Male,901,3,5,Maadi, Cairo,104
Accountant,Full Time,on-site,Willow's Egypt,"Sheikh Zayed, Giza",56,91,4,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Basic Salary + 12% Service Charge + Meal Allowance",Accounting/Finance,"['accounting', 'excel', 'finance', 'financial', 'microsoft excel', 'general ledger']",both,901,2,3,Sheikh Zayed, Giza,22
Accountant,Full Time,on-site,Not Specified,"Obour City, Cairo",7,47,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 10000 EGP Per Month,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'excel', 'financial analysis', 'financial', 'microsoft excel', 'ms']",both,901,1,,Obour City, Cairo,23
Accountant,Full Time,on-site,electrotech,"Victoria, Alexandria",56,140,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts employee']",both,901,1,5,Victoria, Alexandria,70
Accountant,Full Time,on-site,Not Specified,"Nozha, Cairo",28,53,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'excel', 'finance', 'enterprise resource planning', 'financial', 'general ledger']",both,901,2,3,Nozha, Cairo,53
Accountant,Full Time,on-site,Unisas International Freight,"Giza, Egypt",5,115,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'gaap', 'general ledger', 'ms', 'microsoft excel', 'certified accountant']",both,901,0,1,Giza, Egypt,115
Accountant,Full Time,on-site,Al Fares Oilseel,"10th of Ramadan City, Sharqia",19,42,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'accounting software', 'certified public accountant', 'excel', 'certified accountant', 'financial analysis', 'financial', 'gaap', 'general ledger', 'microsoft excel', 'ms']",both,901,2,5,10th of Ramadan City, Sharqia,21
Accountant,Full Time,on-site,Not Specified,"Azbakia, Cairo",6,70,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,5000 To 8000 EGP Per Month,Accounting/Finance,"['accounting', 'microsoft excel', 'accounting principles', 'accounting software', 'finance', 'financial analysis', 'financial', 'freshbooks', 'gaap', 'microsoft excel']",both,901,1,3,Azbakia, Cairo,23
Accountant,Full Time,on-site,Not Specified,"Faisal, Giza",24,68,4,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'finance', 'business administration', 'accounting', 'financial analysis', 'financial', 'general ledger', 'taxes', 'certified accountant', 'certified public accountant', 'auditing']",both,901,2,5,Faisal, Giza,17
Accountant,Full Time,on-site,The Egyptian Co. For Manufacturing Perlite,"6th of October, Giza",20,60,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'ms', 'financial analysis', 'finance', 'accounting regulations', 'analytical', 'excel', 'financial', 'procedures', 'regulations', 'microsoft excel']",Male,901,5,8,6th of October, Giza,60
Accountant,Full Time,on-site,I'm Rubiks,"Cairo, Egypt",10,59,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'accountant', 'financial analysis', 'financial']",both,901,3,5,Cairo, Egypt,59
Accountant,Full Time,on-site,Pearl Dental and Beauty Center,"Heliopolis, Cairo",19,42,3,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['administration', 'accounting', 'accounting software', 'excel', 'certified accountant', 'certified public accountant', 'financial analysis', 'financial', 'gaap', 'general ledger']",Male,901,2,3,Heliopolis, Cairo,14
Accountant,Full Time,on-site,LEDA EGYPT COMPANY,"Ameria, Alexandria",56,140,1,Experienced (Non-Manager),Not Specified,7000 To 9000 EGP Per Month,Accounting/Finance,"['accounting', 'cost accounting']",both,901,4,6,Ameria, Alexandria,140
Accountant,Full Time,on-site,Not Specified,"Heliopolis, Cairo",12,43,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['communication', 'financial reporting']",both,901,1,3,Heliopolis, Cairo,43
Accountant,Full Time,on-site,NewTech Company,"Garden City, Cairo",56,105,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial']",both,901,1,3,Garden City, Cairo,105
Accountant,Full Time,on-site,WAKIDI Law Firm,"Alexandria, Egypt",7,110,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'accountant', 'excel', 'financial analysis', 'financial', 'microsoft', 'commerce', 'education', 'finance', 'software']",both,901,2,4,Alexandria, Egypt,55
Accountant,Full Time,on-site,LTS Group,"Cairo, Egypt",28,130,4,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['english education', 'financial accounting', 'accounts payable', 'accounting', 'accounting software', 'english', 'enterprise resource planning', 'excel', 'finance', 'financial analysis', 'financial', 'organizational', 'software', 'writing']",both,901,1,2,Cairo, Egypt,32
Accountant,Full Time,on-site,Falcons International Trading & Marketing,"Smart Village, Giza",56,139,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'financial', 'excel', 'financial analysis', 'financial reporting', 'microsoft excel', 'financial']",both,901,2,5,Smart Village, Giza,139
Accountant,Full Time,on-site,Bayat almanzel,"Cairo, Egypt",28,59,1,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 SAR Per Month,Accounting/Finance,"['accountant', 'accounting', 'analytical', 'communication', 'communication', 'finance', 'financial', 'financial analysis', 'financial', 'financial records', 'odoo', 'records', 'reports']",both,901,3,5,Cairo, Egypt,59
Accountant,Full Time,on-site,Allianz,"New Cairo, Cairo",56,,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['power bi', 'power query', 'accounting', 'data analysis']",both,901,0,2,New Cairo, Cairo,
Accountant,Full Time,on-site,Not Specified,"Downtown, Cairo",56,147,1,Entry Level (Junior Level / Fresh Grad),Diploma,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'excel', 'financial analysis', 'financial']",both,901,1,2,Downtown, Cairo,147
Accountant,Full Time,on-site,Food Basket Egypt,"6th of October, Giza",28,130,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'enterprise resource planning', 'excel', 'finance', 'inventory control']",both,901,0,4,6th of October, Giza,130
Accountant,Full Time,on-site,7 Cube,"Shorouk City, Cairo",28,58,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Commissions Yearly",Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'certified accountant', 'certified public accountant', 'excel', 'gaap', 'general ledger', 'accounting software', 'microsoft excel']",both,901,1,2,Shorouk City, Cairo,58
Accountant,Full Time,on-site,jfc-glory,"Maadi, Cairo",3,58,3,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'gaap', 'general ledger', 'microsoft excel', 'ms']",both,901,10,20,Maadi, Cairo,19
Accountant,Full Time,on-site,Todos,"Obour City, Cairo",13,41,1,Experienced (Non-Manager),Bachelor'S Degree,"8000 To 12000 EGP Per Month, Bonus",Accounting/Finance,"['accounting', 'finance', 'enterprise resource planning', 'invoicing', 'tax', 'financial analysis', 'financial', 'insurance', 'medical']",both,901,2,5,Obour City, Cairo,41
Accountant,Full Time,on-site,Minerals Tech,"Sheikh Zayed, Giza",18,120,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'finance', 'financial analysis', 'financial', 'accounting']",both,901,0,2,Sheikh Zayed, Giza,120
Accountant,Full Time,on-site,Smart Direction,"Mokattam, Cairo",26,100,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accountant', 'finance', 'general ledger', 'accounting', 'accounting software', 'certified accountant', 'certified public accountant', 'excel', 'financial analysis', 'financial', 'gaap', 'ms', 'microsoft excel']",Female,901,5,10,Mokattam, Cairo,100
Accountant,Full Time,on-site,Global conveyor technology,"Maadi, Cairo",56,147,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accountant', 'accounting', 'finance', 'financial analysis', 'financial']",both,901,1,1,Maadi, Cairo,147
Accountant,Full Time,on-site,Mantle International,"Cairo, Egypt",56,41,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'training', 'accountant', 'english']",both,901,3,,Cairo, Egypt,41
Accountant,Full Time,on-site,Serioplast,"6th of October, Giza",13,59,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation Medical Insurance",Accounting/Finance,"['ap', 'finance', 'general ledger', 'accounting']",both,901,2,5,6th of October, Giza,59
Accountant,Full Time,on-site,ghannam vet,"Nasr City, Cairo",56,155,4,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accountant', 'enterprise resource planning', 'finance', 'commerce']",both,901,1,2,Nasr City, Cairo,38
Accountant,Full Time,on-site,Outsourcing Skill,"Maadi, Cairo",56,102,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'certified public accountant', 'certified accountant', 'microsoft excel', 'ms', 'financial analysis', 'financial']",both,901,1,2,Maadi, Cairo,102
Accountant,Full Time,on-site,Blue Nile Boat Maadi,"Maadi, Cairo",56,134,5,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'financial analysis', 'financial']",both,901,4,11,Maadi, Cairo,26
Accountant,Full Time,on-site,Monstel,"Sheikh Zayed, Giza",56,61,1,Experienced (Non-Manager),Not Specified,6000 To 8000 EGP Per Month,Accounting/Finance,"['accounting', 'advanced excel', 'financial', 'odoo', 'financial', 'financial analysis', 'finance', 'excel']",both,901,4,5,Sheikh Zayed, Giza,61
Accountant,Full Time,on-site,egyptian office,"Heliopolis, Cairo",28,93,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'financial accounting', 'financial', 'accounting software', 'gaap', 'general ledger', 'ms', 'microsoft excel', 'quickbooks', 'excel', 'software']",both,901,3,10,Heliopolis, Cairo,93
Accountant,Full Time,on-site,Not Specified,"6th of October, Giza",5,47,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'commerce']",both,901,0,2,6th of October, Giza,47
Accountant,Full Time,on-site,ش شركة العمودي لإستشارات المحاسبة | الزكاة | الضريبة,"Cairo, Egypt",25,93,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'arabic', 'tax', 'income statement', 'financial', 'business', 'commerce', 'english', 'finance', 'financial analysis', 'financial']",Male,901,1,3,Cairo, Egypt,46
Accountant,Full Time,on-site,PC,"New Cairo, Cairo",28,71,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial analysis', 'finance', 'business', 'general ledger', 'financial', 'tax accounting', 'tax law', 'microsoft excel', 'english', 'accounting principles', 'analytical']",both,901,2,6,New Cairo, Cairo,35
Accountant,Full Time,on-site,Pyramids Pharmacy,"6th of October, Giza",28,76,1,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Annual Bonus Monthly Bonus Monthly Outing/ Lunch",Accounting/Finance,"['accounting', 'financial', 'finance', 'microsoft excel']",both,901,1,,6th of October, Giza,76
