Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Applicant_per_position
Accountant,Full Time,on-site,Creative Motion,cairo,56,104.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'excel', 'finance', 'financial analysis', 'financial', 'microsoft excel', 'general ledger', 'gaap', 'financial']",Male,901,3.0,5.0,Maadi,104.0
Accountant,Full Time,on-site,Willow's Egypt,Giza,56,91.0,4,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Basic Salary + 12% Service Charge + Meal Allowance",Accounting/Finance,"['accounting', 'excel', 'finance', 'financial', 'microsoft excel', 'general ledger']",both,901,2.0,3.0,Sheikh Zayed,22.0
Accountant,Full Time,on-site,Not Specified,cairo,7,47.0,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 10000 EGP Per Month,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'excel', 'financial analysis', 'financial', 'microsoft excel', 'ms']",both,901,1.0,,Obour City,23.0
Accountant,Full Time,on-site,electrotech,Alexandria,56,140.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounts employee']",both,901,1.0,5.0,Victoria,70.0
Accountant,Full Time,on-site,Not Specified,cairo,28,53.0,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'excel', 'finance', 'enterprise resource planning', 'financial', 'general ledger']",both,901,2.0,3.0,Nozha,53.0
Accountant,Full Time,on-site,Unisas International Freight,Giza,5,115.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'certified public accountant', 'excel', 'finance', 'financial analysis', 'financial', 'gaap', 'general ledger', 'ms', 'microsoft excel', 'certified accountant']",both,901,0.0,1.0,Giza,115.0
Accountant,Full Time,on-site,Al Fares Oilseel,Sharqia,19,42.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'accounting software', 'certified public accountant', 'excel', 'certified accountant', 'financial analysis', 'financial', 'gaap', 'general ledger', 'microsoft excel', 'ms']",both,901,2.0,5.0,10th of Ramadan City,21.0
Accountant,Full Time,on-site,Not Specified,cairo,6,70.0,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,5000 To 8000 EGP Per Month,Accounting/Finance,"['accounting', 'microsoft excel', 'accounting principles', 'accounting software', 'finance', 'financial analysis', 'financial', 'freshbooks', 'gaap', 'microsoft excel']",both,901,1.0,3.0,Azbakia,23.0
Accountant,Full Time,on-site,Not Specified,Giza,24,68.0,4,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'finance', 'business administration', 'accounting', 'financial analysis', 'financial', 'general ledger', 'taxes', 'certified accountant', 'certified public accountant', 'auditing']",both,901,2.0,5.0,Faisal,17.0
Accountant,Full Time,on-site,The Egyptian Co. For Manufacturing Perlite,Giza,20,60.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'ms', 'financial analysis', 'finance', 'accounting regulations', 'analytical', 'excel', 'financial', 'procedures', 'regulations', 'microsoft excel']",Male,901,5.0,8.0,6th of October,60.0
