Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Admin Representative,Full Time,On-site,B. G. Karim for Medical Supplies,"Cairo, Egypt",Posted 1 month ago,23,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,"['Admin', 'Administration', 'MS Office', 'Office Management', 'Computer Skills', 'Customer Service', 'Customer Support']"
International Supplier Specialist,Full Time,On-site,Nacita,"Smart Village, Giza",Posted 7 days ago,32,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Logistics/Supply Chain,"['Communication', 'Import', 'English', 'Negotiation', 'Management', 'Logistics', 'Supply Chain']"
Product Manager,Full Time,On-site,Valeurs,"Cairo, Egypt",Posted 2 months ago,57,1 open position,More Than 1 Year,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Advertising', 'business', 'Communication skills', 'Digital Marketing', 'digital marketing', 'Information Technology (IT)', 'English', 'Management', 'Marketing', 'Product', 'Product Management']"
Personnel Specialist,Full Time,On-site,Methode Electronics Egypt,"Nasr City, Cairo",Posted 18 days ago,104,1 open position,2 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,"['Administration', 'business', 'Business Administration', 'Communication skills', 'Communication', 'HR', 'Human Resources', 'Human Resources (HR)', 'Personnel', 'Recruitment', 'Skills', 'Microsoft Office']"
Secretary,Full Time,On-site,,"Nasr City, Cairo",Posted 1 month ago,69,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,"['administrative', 'Business Administration', 'Microsoft Office', 'Management', 'excel', 'English', 'Administration', 'Secretary', 'Office management', 'MS Office', 'office', 'word']"
Planning Engineer,Full Time,On-site,Experts,"Heliopolis, Cairo",Posted 7 days ago,32,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Incentive - Medical Insurance",Engineering - Construction/Civil/Architecture,"['Civil Engineering', 'Planning', 'Project Management', 'analytical', 'Project', 'MS Office', 'Real Time Management', 'Business Planning']"
General Accountant,Full Time,On-site,Technomaster For Metal Industries (Technometal),"10th of Ramadan City, Sharqia",Posted 17 days ago,105,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['Accounting', 'Banking', 'Sheet Metal', 'Accounting principles', 'Finance', 'analytical', 'Financial Analysis', 'Financial Management', 'GAAP', 'General Accounting', 'Generally Accepted Accounting Principles']"
Administrative Procurement Lead,Full Time,On-site,Ninos Kids Wear,"Maadi, Cairo",Posted 2 months ago,43,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,"Confidential, Transportation Allowance",Administration,"['Administration', 'Procurement', 'Suppliers', 'Business Administration']"
Senior Data Center Engineer,Full Time,On-site,Mobi Egypt,"Maadi, Cairo",Posted 1 month ago,28,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Installation/Maintenance/Repair,"['Computer Science', 'Data Center Management', 'Data center', 'Information Technology (IT)', 'Software', 'Cloud', 'Networking', 'Software Engineering']"
Search Engine Optimization Specialist,Full Time,On-site,Learn N' Digital,"Giza, Egypt",Posted 24 days ago,8,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Digital Marketing', 'digital marketing', 'search', 'Search Engine', 'Search Engine Optimization', 'Social Media', 'SEO', 'Optimization', 'Marketing', 'Analytics', 'Communication', 'google', 'Google Analytics', 'SEMrush']"
Graphic Design Team Lead,Full Time,On-site,Social Peak,"Maadi, Cairo",Posted 20 days ago,34,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"['3D', 'Arts', 'Creative', 'Design', 'Graphic', 'Graphic Design', 'photoshop', 'Visual Design', 'Digital Marketing', 'Marketing', 'Facebook Marketing', 'Digital Advertising']"
License & Contracting Engineer,Full Time,On-site,Eamar Al Delta,"New Cairo, Cairo",Posted 2 months ago,9,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,"['Architecture', 'Architecture Engineering', 'Civil Engineering', 'Construction', 'Contracting', 'Civil', 'Engineering']"
Acquisitions Specialist (Wholesaling Real Estate),Full Time,Remote,Shamber Holdings,"Chicago, United States",Posted 15 days ago,9,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,"1000 To 1500 USD Per Month, Generous Commission Structure Is Available In Addition To Salary.",Sales/Retail,"['Communication skills', 'Real Estate', 'CRM']"
Recruitment Specialist,Internship,Remote,Careery For Talent Services,"New Cairo, Cairo",Posted 1 month ago,126,1 open position,Not Specified,Student (Undergrad / Postgrad),Not Specified,"4000 To 4000 EGP Per Month, Laptop And Mobile",Human Resources,"['Recruitment', 'Human Resources (HR)']"
Digital Transformation Consultant,Full Time,On-site,RMG,"Cairo, Egypt",Posted 2 months ago,35,1 open position,3 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['digital transformation', 'Digital', 'Qiyas']"
Maintenance Engineer (Test Electrical Machine),Full Time,On-site,etisal for advanced industries,"6th of October, Giza",Posted 26 days ago,79,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,"['Electrical', 'Engineering', 'Mechanical Engineering', 'Maintenance', 'Information Technology (IT)', 'Computer Engineering', 'ERP', 'Microsoft Office', 'test engineer', 'engineering section']"
