Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Experience,Career_Level,Education,Salary,Job_Category,Skills
Digital Content Marketing Specialist,Full Time,On-site,Professional Service - Proserv,"New Cairo, Cairo",Posted 1 month ago,40,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['Content', 'Content Creation', 'Digital', 'Digital Marketing', 'digital marketing', 'E-Marketing', 'Google Analytics', 'Marketing', 'SEO', 'Social Media', 'Writing', 'Editing', 'media', 'Design']"
Supply and Demand Planning Manager,Full Time,On-site,Bouri Group,"New Cairo, Cairo",Posted 26 days ago,136,1 open position,5 To 7 Years,Manager,Not Specified,Confidential,Logistics/Supply Chain,"['Manufacturing', 'Production', 'Planning', 'Supply', 'Supply Chain', 'supply chain management', 'business', 'Purchasing', 'demand', 'Logistics', 'Management']"
Senior Mechanical Site Engineer,Full Time,On-site,,"New Cairo, Cairo",Posted 17 days ago,37,1 open position,5 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['HVAC', 'Firefighting', 'Mechanical Engineering', 'AutoCAD', 'Engineering']"
Senior Sales Engineer- Panel Builders,Full Time,On-site,Devash control system,"Mohandessin, Giza",Posted 2 months ago,8,2 open positions,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['Electrical Engineering', 'Sales', 'Engineering', 'panel builders']"
Senior Media Buyer,Full Time,On-site,Verona Developments,"6th of October, Giza",Posted 18 days ago,9,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Media Buyer', 'Digital Marketing', 'Digital', 'Marketing', 'media', 'Planning', 'digital media', 'digital marketing', 'Communication', 'Buyer', 'Advertising', 'Social Media', 'buying']"
Junior Real Estate Sales,Full Time,On-site,Sakan For RealEstate,"6th of October, Giza",Posted 2 months ago,61,5 open positions,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"5000 To 7000 EGP Per Month, Commission And Bonuses",Customer Service/Support,"['broker', 'Real Estate', 'Real Estate Agent', 'Sales', 'sales skills', 'Sales Target', 'Experience', 'Communication', 'Negotiation']"
Assistant Operation Manager Retail,Full Time,On-site,Bubblzz,"Sheraton, Cairo",Posted 10 days ago,46,1 open position,4 To 7 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Administration,"['Communication skills', 'Administration', 'Operations Management', 'Customer Service', 'Management', 'Retail Business', 'Sales Target', 'Odoo ERP']"
Sales Executive,Full Time,Remote,DACK Trading LLC,"Cairo, Egypt",Posted 8 days ago,31,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"1000 To 1500 USD Per Month, Commission On Each Sale",Business Development,"['Sales', 'Sales Target', 'Negotiation', 'Skills', 'Sourcing', 'Communication skills', 'Communication', 'English', 'sales skills']"
Sales Account Manager,Full Time,Hybrid,Innovera for Education Technology,"New Cairo, Cairo",Posted 27 days ago,20,3 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Commission & Bonuses",Sales/Retail,"['account manager', 'Customer Service', 'Sales', 'Sales Target', 'sales skills', 'Education Technology', 'Technology']"
Planning Manager: P6 Expert & Fluent English Speaker),Full Time,On-site,HSE Contractors for CPM Scheduling Consultants,"Dokki, Giza",Posted 24 days ago,9,1 open position,8 To 15 Years,Manager,Not Specified,"90000 To 150000 EGP Per Month, Travel Opportunities: Enjoy Trips To The USA, Including Destinations Like Florida And California, With All Expenses Covered! Daily Perks: Receive An Additional $300/Day As Pocket Money.",Engineering - Construction/Civil/Architecture,"['Engineering', 'English', 'Project Management', 'Microsoft Project', 'Primavera', 'Planning', 'Communication', 'Claims Management']"
E-Delta & Canal Merchandiser,Full Time,Remote,Minlo,"Kafr Saqr, Sharqia",Posted 17 days ago,12,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,"['Visual Merchandising', 'Merchandising']"
Assistant Accounts Payable,Full Time,On-site,Emeco Travel,"Downtown, Cairo",Posted 4 days ago,70,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Males Preferred,Accounting/Finance,"['Accounting', 'Accounts Payable', 'English', 'Finance', 'Financial Analysis', 'MS Office']"
Export Specialist,Full Time,On-site,Global conveyor technology,"Maadi, Cairo",Posted 2 months ago,22,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,"['Export specialist', 'Sales', 'Supply Chain', 'Logistics', 'Export']"
Secretary / Receptionist,Full Time,On-site,Apexos Group,"Sheraton, Cairo",Posted 26 days ago,108,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,"['Admin', 'Administration', 'Front Office', 'Microsoft Office', 'Office management', 'receptionist', 'Communication', 'Service', 'Hospitality']"
Design Architect,Full Time,On-site,Burger King,"Heliopolis, Cairo",Posted 21 days ago,45,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['Architecture', 'Design', 'Construction', 'AutoCAD', 'English', 'Modeling', 'Revit', 'sketchup', '3D']"
Architect Site Engineer,Full Time,On-site,Capital real estate development,"New Cairo, Cairo",Posted 21 days ago,73,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['3d max', 'architectural', 'AutoCAD', 'Communication', 'Construction', 'photoshop', 'Projects', 'Management', '3D', 'Architecture', 'Engineering', 'Civil Engineering']"
Site Engineer/Architect,Full Time,Hybrid,fame for trading and contracting co.,"Giza, Egypt",Posted 1 month ago,92,2 open positions,3 To 5 Years,Experienced (Non-Manager),Not Specified,"Confidential, 40 Hr./ Week Over Time Social &Medical Insurance",Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Construction', 'Engineering', 'Site Engineer', 'PMP', 'Project Management', 'Architecture', 'Microsoft Office', 'Primavera', 'Time Management', 'Team Player', 'Team management', 'Site']"
Senior Electrical Design Engineer,Full Time,On-site,Q Design,"Maadi, Cairo",Posted 17 days ago,19,1 open position,7 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['Microsoft Office', 'Electrical Engineering', 'Engineering', 'Design', 'Electrical Design', 'Relux', 'Revit', 'Dialux', 'ELV', 'Power Lighting', 'MCC', 'Ecodial', 'BOQ', 'ETAP', 'Power', 'Lighting', 'AutoCAD', 'English']"
Human Resources Generalist (F&B),Full Time,On-site,Outservingplus,"Cairo, Egypt",Posted 2 months ago,37,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,"['Communication skills', 'Personnel', 'Performance Management', 'Payroll', 'Recruitment', 'Human Resources']"
Call Center Agent (English),Full Time,Remote,BPOHIVE,"Cairo, Egypt",Posted 26 days ago,77,3 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,20000 To 35000 EGP Per Month,Customer Service/Support,"['business', 'Call Center', 'Communication', 'CRM', 'Customer Service', 'Customer Support', 'Sales', 'English', 'Telemarketing']"
Sales Representative,Full Time,On-site,Srag & Rizk for Trade and Engineering,"Maadi, Cairo",Posted 1 month ago,23,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"7500 To 10000 EGP Per Month, Commissions On Spare Parts And Equipment Sales",Sales/Retail,"['Industrial Equipment', 'Sales', 'Sales Skills', 'Engineering', 'Industrial Machinery', 'Sales Target', 'Customer Service', 'excel', 'English', 'Experience', 'Microsoft', 'Microsoft Word']"
Senior Warehouse Accountant,Full Time,On-site,El Teriak Industrial Group,"Zamalek, Cairo",Posted 19 days ago,89,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Operations/Management,"['Warehouse Management', 'Warehousing', 'Purchasing', 'Management', 'Warehouse', 'Logistics', 'Communication Skills', 'Chain Management', 'Communication', 'Supply', 'Accounting', 'Analysis', 'Software', 'Sales Target', 'Skills', 'Sales', 'erp', 'Warehouse Management System', '', '', '', '', '']"
Frontend Developer - Fully Remote Job,Full Time,Remote,Osus Group,"Cairo, Egypt",Posted 26 days ago,172,2 open positions,2 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['CSS3', 'Computer Science', 'Software Development', 'Software Engineering', 'front-end', 'HTML5', 'Information Technology (IT)', 'JavaScript', 'React', 'Typescript', 'Web Development', 'Web Design', 'Software', 'Design', 'Git', 'Agile Software Development', 'Agile Software', 'Front-End Development', '', '', '', '', '', '', '']"
Mechanical Technical Office Engineer,Full Time,On-site,Sinoma-cdi,"New Cairo, Cairo",Posted 1 month ago,43,1 open position,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['AutoCAD', 'Mechanical', 'Mechanical Engineering']"
Graphic Designer,Full Time,On-site,Winning for trade and commercial agencies,"Dokki, Giza",Posted 27 days ago,52,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['Arts', 'Adobe Photoshop', 'Adobe illustrator', 'Design', 'Fine Arts', 'Graphic Design', 'illustrator', 'indesign', 'photoshop', 'Social Media', 'Printing']"
Steel Detailing Engineer,Full Time,On-site,,"Ain Sokhna, Suez",Posted 23 days ago,7,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['AutoCAD', 'Detailing', 'Steel', 'structural', 'Structural Design', 'Tekla', 'Steel Detailing', 'Design', 'Engineering']"
Senior Foreign Purchasing Specialist,Full Time,On-site,,"Obour City, Cairo",Posted 1 month ago,136,1 open position,More Than 4 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Transportation, Medical Insurance",Logistics/Supply Chain,"['Procurement', 'Purchasing', 'Supply Chain', 'English', 'Logistics', 'Manufacturing', 'excel']"
Digital Marketing Coordinator,Full Time,On-site,Gresco,"Cairo, Egypt",Posted 10 days ago,17,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 8000 EGP Per Month,Marketing/PR/Advertising,"['Digital Marketing', 'Computer Skills', 'SEM', 'SEO', 'Social Media', 'Marketing', 'Management', 'Content Management', 'digital marketing', 'E-Marketing', 'Digital', 'Content', 'Communication']"
Human Resources Generalist,Full Time,On-site,Parkville Pharmaceuticals,"Mohandessin, Giza",Posted 20 days ago,178,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,"['Human Resources', 'Recruitment']"
Payment Order Specialist,Full Time,On-site,UNICARE Medical Care & Centers,"Dokki, Giza",Posted 17 days ago,17,1 open position,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Logistics/Supply Chain,"['Supply Chain', 'Logistics', 'Communication', 'Customer Service', 'Management', 'Purchasing']"
Senior Demand Planning Engineer- Sheetmetal,Full Time,On-site,LinkMisr,"10th of Ramadan City, Cairo",Posted 1 month ago,57,1 open position,4 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,"['Engineering', 'Planning', 'Mechanical', 'MRP', 'Demand Planning']"
Photographer & Videographer,Full Time,On-site,Carina Wear,"New Cairo, Cairo",Posted 12 days ago,38,1 open position,2 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Creative/Design/Art,"['Adobe Photoshop', 'Adobe Premiere', 'Design', 'media', 'Photo Editing', 'Photography', 'Video Editing', 'Videography']"
HVAC Engineer,Full Time,On-site,Deutschland Technology Limited,"Sheraton, Cairo",Posted 19 days ago,36,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,"['HVAC', 'AutoCAD', 'Mechanical Engineering', 'Mechanical', 'Revit', 'English', 'Communication skills', 'Design', 'Communication', 'Tendering', 'Firefighting']"
Tax Accountant,Full Time,On-site,Wham Clinics,"San Stefano, Alexandria",Posted 11 days ago,54,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Accounting/Finance,"['Accounting', 'analytical', 'Analytical Skills', 'English', 'excel', 'Finance', 'Financial Analysis', 'Microsoft Office', 'MS Office', 'Payroll Tax', 'Tax', 'Commerce', 'Accounting Software']"
Project Manager,Full Time,On-site,,"New Capital, Cairo",Posted 1 month ago,378,1 open position,10 To 15 Years,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Communication', 'Communication skills', 'Civil', 'Construction', 'Engineering', 'Management', 'PMP', 'Project Management', 'Construction Engineering', 'Project']"
Sales Manager,Full Time,On-site,Cloud11,"Dokki, Giza",Posted 1 month ago,126,1 open position,5 To 10 Years,Manager,Bachelor'S Degree,"Confidential, Commission Scheme",Customer Service/Support,"['Business Administration', 'CRM', 'Planning', 'Sales Target', 'Budgeting', 'forcasting', 'Salesforce CRM', 'Google workspace', 'Google cloud', 'Sales Planning', 'Communication', 'Marketing', 'Customer Service', 'Sales', 'Administration']"
Mechanical Design Engineer,Full Time,On-site,ALSAKR for Trading and Manufacturing of Machinery and Equipments,"10th of Ramadan City, Sharqia",Posted 1 month ago,88,1 open position,2 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Quarterly Bonus Annual Profit Share",Engineering - Mechanical/Electrical,"['SolidWorks', 'Mechanical Design Engineering', 'Machinery']"
Legal Manager - Bilingual (Arabic/English),Full Time,On-site,ATC,"Maadi, Cairo",Posted 1 month ago,111,1 open position,7 To 10 Years,Manager,Bachelor'S Degree,25000 To 30000 EGP Per Month,Legal,"['Legal', 'Law', 'Corporate Law', 'Contracts', 'Commercial Law', 'Communication', 'Management', 'Administration', 'English']"
Footwear Upper Stitching Line Production Responsible,Full Time,On-site,Lufian,"10th of Ramadan City, Sharqia",Posted 2 days ago,Be the First to Apply,,5 To 10 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,"['shoe', 'foot', 'Production', 'Product Management', 'manifactoring', 'Fashion', 'Fashion Retail', 'footwear']"
Video Editor,Full Time,Hybrid,Velotrix Media - Solutions,"Cairo, Egypt",Posted 1 month ago,104,3 open positions,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Creative/Design/Art,"['media', 'adobe', 'Adobe After Effects', 'Adobe Photoshop', 'After Effects', 'Adobe Premiere', 'Editing', 'Content', 'film', 'Premiere', 'video', 'Video Editing']"
Administrative Assistant,Full Time,On-site,LOLC EL-OULA MICROFINANCE EGYPT’,"Maadi, Cairo",Posted 2 months ago,183,1 open position,0 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Medical Insurance, Pension Plan, Life Insurance",Administration,"['Microsoft Office', 'Admin', 'Administration', 'Office Management', 'Secretary', 'Business Administration', 'Writing', 'Communication Skills', 'English', 'Computer Skills']"
Electrical Engineer,Full Time,On-site,Q Design,"Maadi, Cairo",Posted 16 days ago,31,1 open position,3 To 6 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Design', 'Electrical', 'Electrical Engineering', 'Revit', 'Software', 'technical', 'Communication', 'Engineering']"
Content Creator and Moderator Position,Full Time,On-site,Blue Ventures,"Nasr City, Cairo",Posted 9 days ago,40,1 open position,2 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,"['Content Creation', 'Editing', 'Marketing', 'moderation', 'Social Media']"
Fashion Designer,Full Time,On-site,Carina Wear,"New Cairo, Cairo",Posted 2 months ago,99,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Creative/Design/Art,"['Adobe illustrator', 'Adobe Photoshop', 'Fashion Illustration', 'Pattern Making', 'Garment Construction', 'Textile Design', 'CAD', 'Fashion Design', 'Apparel Design', 'Fashion Trends', 'Fabric Selection', 'Creativity', 'Mood Boards', 'Style Innovation', 'Product Development', 'Attention to Detail', '', '', '', '', '', '']"
Project Management Engineer,Full Time,On-site,Mantrac,"Alexandria, Egypt",Posted 2 months ago,126,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Project/Program Management,"['Project Management', 'Electrical', 'PMP', 'Engineering', 'Electromechanical Engineering', 'Generators', 'Diesel engines']"
Accountant,Full Time,On-site,The Egyptian Co. For Manufacturing Perlite,"6th of October, Giza",Posted 20 days ago,60,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Accounting/Finance,"['Accounting', 'MS', 'Financial Analysis', 'Finance', 'Accounting Regulations', 'analytical', 'excel', 'Financial Management', 'Procedures', 'Regulations', 'MS Excel']"
Internal Audit Director,Full Time,On-site,Dr.Greiche,"10th of Ramadan City, Sharqia",Posted 13 days ago,41,1 open position,15 To 20 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Accounting/Finance,"['Accounting', 'excel', 'Finance', 'Auditing', 'Internal auditing', 'Risk Assessment', 'Compliance Management']"
Sales Indoor,Full Time,On-site,Kilim Studio,"Nasr City, Cairo",Posted 15 days ago,35,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,"5000 To 7500 EGP Per Month, Commission From B2C And B2B Sales",Customer Service/Support,"['Customer Service', 'Retail', 'Sales', 'sales skills', 'Store Sales', 'store']"
Supervisor,Full Time,On-site,Spring,"Agouza, Giza",Posted 27 days ago,49,12 open positions,1 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,6000 To 7000 EGP Per Month,Administration,"['Customer Service', 'Communication', 'Experience', 'Leadership', 'Supervisor', 'Management', 'Sales', 'Legal', 'Diploma', 'Sales Target']"
Photographer,Full Time,On-site,Verite Magazine,"Maadi, Cairo",Posted 1 month ago,68,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Creative/Design/Art,"['Photography', 'Adobe Photoshop', 'Shooting', 'Design', 'Production', 'photoshop', 'Printing', 'Photographic', 'Publishing', 'media']"
Electrical & Instrumentation Engineer,Full Time,On-site,NILEWOOD,"Alsadat City, Monufya",Posted 3 days ago,20,1 open position,5 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,"['Electrical', 'English', 'instrumentation', 'Industrial']"
Digital Marketing Executive,Full Time,On-site,KAMF REAL ESTATE MARKETING,"Cairo, Egypt",Posted 17 days ago,18,1 open position,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,10000 To 13000 EGP Per Month,Marketing/PR/Advertising,"['Digital Marketing', 'E-Marketing', 'Social Media', 'Marketing', 'Digital', 'digital marketing', 'Marketing executive', 'Executive']"
BTL Account manager (printing - Booth),Full Time,On-site,Osolutions,"Nasr City, Cairo",Posted 1 month ago,14,1 open position,2 To 15 Years,Experienced (Non-Manager),Not Specified,Confidential,Business Development,"['Offset Printing', 'Digital Printing', 'Design', 'Printing', 'BTL Advertising', 'BTL']"
HR Manager,Full Time,On-site,Al-Andalus International School,"New Cairo, Cairo",Posted 18 days ago,357,1 open position,10 To 20 Years,Manager,Master'S Degree,Confidential,Human Resources,"['HR', 'Hr manager', 'human resources management']"
General Accounting Associate,Full Time,On-site,Reliance Egypt,"Cairo, Egypt",Posted 18 days ago,67,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['Accounting', 'English', 'Finance']"
Full Stack Software Developer,Full Time,On-site,Wissam Electronics,"6th of October, Giza",Posted 1 month ago,165,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Software Development', '.Net']"
HR and Facilities Administrator,Full Time,On-site,El Shrouk Co.,"Abbassia, Cairo",Posted 1 month ago,96,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,"['MS Office', 'Labor', 'Human Resources (HR)', 'Administration', 'Business Administration', 'Communication', 'Human Resources', 'HR', 'office']"
Lead Application Oracle E-Business Suite,Full Time,On-site,Allianz,"New Cairo, Cairo",Posted 2 months ago,13,1 open position,5 To 8 Years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"['Application Development', 'Computer Science', 'EBS', 'Oracle', 'Software', 'Information Technology (IT)']"
Instrumentation Sales Engineer - Bahrain/Saudi Arabia,Full Time,Hybrid,,"Riyadh, Saudi Arabia",Posted 1 month ago,33,1 open position,3 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Sales/Retail,"['instrumentation', 'engineer', 'english', 'control engineer', 'instrumentation engineer', 'electrical', 'Communication', 'Engineering', 'Microsoft Office', 'Negotiation', 'Presentation Skills', 'Sales', 'Sales Target']"
Marketing Manager,Full Time,On-site,EITS Group,"Mohandessin, Giza",Posted 18 days ago,76,1 open position,3 To 6 Years,Manager,Not Specified,Confidential,Marketing/PR/Advertising,"['Marketing', 'Marketing skills', 'Market Research', 'Skills', 'Social Media', 'Sales', 'Performance', 'English', 'Creative', 'campaigns', 'analytical']"
Learning and Develpment Specialist,Full Time,On-site,ECC Group,"Nasr City, Cairo",Posted 1 month ago,30,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,"['Education', 'e-Learning', 'Human Resources (HR)', 'learning', 'Project Management', 'Learning and development', 'Instructional Design']"
Senior Account Manager,Full Time,On-site,Essence Adverts,"Maadi, Cairo",Posted 4 days ago,17,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Females Preferred,Marketing/PR/Advertising,"['Startup', 'Advertising', 'Marketing', 'E-marketing', 'Digital Marketing', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Care', 'Customer Support', 'Media', 'Communication', 'Social Media', 'Account', 'Online Marketing']"
Part-time English Instructor - Damietta (Charters),Part Time,On-site,Berlitz Egypt,"Damietta, Damietta",Posted 1 month ago,9,5 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Education/Teaching,"['Languages', 'Linguistics', 'Training', 'Translation', 'Instructor', 'Education', 'IQP', 'Teaching', 'Microsoft Office', 'Communication Skills', 'Computer Skills']"
Donor Relations Representative (Mansoura),Full Time,On-site,Grifols Egypt for Plasma Derivatives,"Mansoura, Dakahlia",Posted 1 month ago,14,1 open position,2 To 7 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Administration,"['Customer Care', 'sales skills', 'Sales', 'Microsoft Office', 'Management', 'Time Management', 'English', 'Customer Service', 'CRM', 'Communication skills', 'Communication']"
Telesales Agent,Full Time,On-site,ElEzaby Automotive,"6th of October, Giza",Posted 2 months ago,13,4 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Sales/Retail,"['Communication', 'CRM', 'Customer Service', 'Negotiation', 'negotiation skills', 'Sales', 'sales skills', 'Telesales']"
Financial Auditor,Full Time,On-site,Rehana Group,"Qanater Khairya, Qalubia",Posted 11 days ago,21,1 open position,3 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['Accounting', 'Auditing', 'Finance', 'Financial Analysis', 'Financial Auditing']"
Data Analyst,Full Time,On-site,Venus Hiring,"Toronto, Canada",Posted 6 days ago,102,1 open position,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6500 To 8500 CAD Per Month,Analyst/Research,"['Data', 'Data Analyst', 'Analysis', 'analytical', 'Computer Science', 'Data Analysis', 'Information Technology (IT)', 'SQL', 'Statistics']"
HR Specialist,Full Time,On-site,EMC Group,"6th of October, Giza",Posted 2 months ago,78,3 open positions,5 To 10 Years,Experienced (Non-Manager),Not Specified,10000 To 15000 EGP Per Month,Human Resources,"['Recruitment', 'Human Resources (HR)', 'Personnel', 'Microsoft Office', 'Hr manager']"
WordPress Developer,Full Time,Remote,COMPUTAN,"Cairo, Egypt",Posted 24 days ago,66,2 open positions,4 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['WordPress', 'MySQL', 'WordPress hooks/actions/filters', 'CMS', 'PHP', 'APIs', 'CSS', 'Development', 'Git', 'HTML', 'JavaScript']"
Payroll Specialist,Full Time,Hybrid,InstaShop,"Cairo, Egypt",Posted 2 months ago,63,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['Benefits', 'Human Resources', 'Payroll', 'Compensation', 'Human Resources (HR)', 'HR', 'Personnel', 'Payroll System', 'Payroll Accounting', 'Microsoft Excel', 'Calculations', 'Compliance', 'Administration']"
Administrative Assistant,Full Time,On-site,,"New Cairo, Cairo",Posted 1 month ago,158,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,"['Admin', 'Administration', 'Microsoft Office', 'Secretary', 'administrative assistant', 'Communication']"
Operations Manager (Construction),Full Time,On-site,Assess Talent Management,"Cairo, Egypt",Posted 29 days ago,177,1 open position,18 To 20 Years,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['Construction', 'Analysis', 'Budgeting', 'Projects']"
CEO,Full Time,On-site,,"6th of October, Giza",Posted 11 days ago,54,1 open position,5 To 10 Years,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Administration,"['Leadership', 'CEO', 'Communication', 'Business Administration', 'Admin', 'business', 'Finance', 'Marketing']"
Data Science Engineer (Java Stack),Full Time,On-site,ARPUPLUS,"Giza, Egypt",Posted 2 months ago,19,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,"8000 To 12000 EGP Per Month, Bouns",Analyst/Research,"['Java', 'Computer Science']"
Chartering Manager,Full Time,On-site,Venus International Free Zone,"Dkhaila, Alexandria",Posted 26 days ago,6,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,Male,Other,"['Maritime Transport', 'Logistics', 'Management', 'Cargo']"
Senior Accountant,Full Time,On-site,Smart sevices,"Maadi, Cairo",Posted 17 days ago,198,3 open positions,5 To 19 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accountant', 'Accounting', 'CMA', 'English', 'excel', 'Finance', 'Financial Analysis', 'Financial Management', 'Tax', 'Budgeting', 'ERP']"
Showroom Accountant,Full Time,On-site,ODA Furniture,"New Cairo, Cairo",Posted 2 months ago,44,2 open positions,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Accounting/Finance,"['Accounting', 'Account Management', 'Finance']"
Scrum Master,Full Time,Hybrid,Nahdet Misr Publishing Group,"Giza, Egypt",Posted 13 days ago,15,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,"['Agile', 'Project', 'Master']"
Financial Manager,Full Time,On-site,International Medical Service Center,"Manial, Cairo",Posted 17 days ago,323,1 open position,7 To 10 Years,Manager,Bachelor'S Degree,Confidential,Accounting/Finance,"['Accounting', 'Communication', 'CPA', 'excel', 'Finance', 'Financial', 'Financial Analysis', 'Financial Management', 'Leadership', 'Management', 'MBA', 'Microsoft Excel']"
Corporate Account Manager,Full Time,On-site,Tradeline Stores,"Sheikh Zayed, Giza",Posted 2 months ago,43,5 open positions,2 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Business Development,"['B2B', 'Communication', 'Communication skills', 'Customer Service', 'English', 'IT', 'MS Office', 'Negotiation', 'Retail', 'Sales', 'sales skills', 'Sales Target']"
